set_id,set_name,release_year,theme_id,num_parts,num_figs,retail_price,num_unique_figs,set_rating,retire_month,retire_price,pop_price,
70664-1,Spinjitzu Lloyd vs. Garmadon,2019,435,208,2,15.99,0,4.9,Jan-20,15.28,24.6,
70665-1,The Samurai Mech,2019,435,154,3,14.99,0,4.9,Dec-20,14.77,19.44,
70666-1,The Golden Dragon,2019,435,171,3,17.99,2,4.8,Nov-20,20.79,29.41,
70667-1,Kai's Blade Cycle & Zane's Snowmobile,2019,435,377,4,24.99,0,4.8,Jun-20,27.28,43.93,
70668-1,Jay's Storm Fighter,2019,435,490,4,34.99,0,4.8,Nov-20,44.26,58.25,
70670-1,Monastery of Spinjitzu,2019,435,1080,1,79.99,1,4.8,Nov-20,84.69,119.41,
70671-1,Lloyd's Journey,2019,435,82,2,12.99,1,4.7,Jul-20,13.73,21.8,
70672-1,Cole's Dirt Bike,2019,435,221,3,17.99,0,4.8,Jan-21,18.34,30.96,
70674-1,Fire Fang,2019,435,469,4,39.99,2,4.8,Feb-21,35.36,63.1,
70675-1,Katana 4x4,2019,435,461,5,44.99,2,4.7,Dec-20,49.87,49.27,
70678-1,Castle of the Forsaken Emperor,2019,435,1223,7,89.99,2,4.9,Dec-20,107.5,154.79,
70679-1,The Ultra Dragon,2019,435,952,6,79.99,0,4.8,Nov-20,96.08,120.35,
70820-1,Movie Maker,2019,670,482,6,44.99,5,4.5,Jan-20,41.88,42.61,
70821-1,Emmet and Benny's 'Build and Fix' Workshop!,2019,670,125,2,17.99,0,4.5,Jul-20,16.71,20.34,
70823-1,Emmet's Thricycle!,2019,670,174,1,12.99,0,4.7,Jan-20,12.91,12.84,
70824-1,Introducing Queen Watevra Wa'Nabi,2019,670,115,3,17.99,3,4.4,Mar-20,16.6,14.27,
70825-1,Queen Watevra's Build Whatever Box!,2019,670,455,0,34.99,0,4.4,Mar-20,25.16,27.29,
70827-1,Ultrakatty & Warrior Lucy!,2019,670,348,2,24.99,0,4.6,Dec-20,26.94,29.11,
70829-1,Emmet and Lucy's Escape Buggy!,2019,670,550,4,44.99,2,4.6,Jan-20,35.76,45.24,
70830-1,Sweet Mayhem's Systar Starship!,2019,670,502,3,59.99,1,4.6,Jan-20,56.9,52.75,
70832-1,Emmet's Builder Box!,2019,670,131,1,24.99,0,4.7,Nov-20,27.07,27.48,
70833-1,Lucy's Builder Box!,2019,670,147,2,24.99,1,4.6,Oct-20,22.94,24.95,
70836-1,Battle-Ready Batman and MetalBeard,2019,670,168,2,17.99,0,4.7,Jan-20,14.77,16.78,
70838-1,Queen Watevra's 'So-Not-Evil' Space Palace,2019,670,997,5,94.99,0,4.6,Mar-20,86.53,66.45,
70839-1,The Rexcelsior!,2019,670,1826,4,139.99,0,4.9,Jun-20,129.22,157.17,
70842-1,Emmet's Triple-Decker Couch Mech,2019,670,312,3,24.99,1,4.8,Oct-20,32.06,33.37,
70849-1,Wyld-Mayhem Star Fighter,2019,670,405,4,44.99,0,4.6,Sep-20,40.06,47.37,
71044-1,Disney Train and Station,2019,608,2927,5,299.99,0,4.8,Dec-21,380.17,431.81,
75232-1,Kylo Ren & Sith Trooper,2019,610,240,0,17.99,0,4.9,Sep-20,19.31,22.47,
75235-1,X-Wing Starfighter Trench Run,2019,158,132,4,24.99,0,4.8,Nov-20,34.94,31.8,
75236-1,Duel on Starkiller Base,2019,158,191,2,17.99,1,4.8,Jun-20,18.11,24.98,
75237-1,TIE Fighter Attack,2019,158,77,2,17.99,0,4.8,May-20,21.57,32.89,
75240-1,Major Vonreg's TIE Fighter,2019,158,496,4,64.99,0,4.9,Jan-21,64.46,73.99,
75241-1,Action Battle Echo Base Defense,2019,158,504,6,54.99,4,4.6,Dec-20,56.73,50.54,
75242-1,Black Ace TIE Interceptor,2019,158,396,3,44.99,2,4.7,Dec-20,52.11,50.45,
75243-1,Slave I - 20th Anniversary Edition,2019,158,1007,6,109.99,3,4.9,Nov-20,123.27,172.21,
75244-1,Tantive IV,2019,158,1772,6,179.99,2,5,Dec-20,217.62,216.61,
75246-1,Death Star Cannon,2019,158,159,2,17.99,0,4.6,Dec-21,16.9,20.1,
75247-1,Rebel A-Wing Starfighter,2019,158,62,2,11.99,0,4.7,Jan-20,13.55,19.38,
75248-1,Resistance A-Wing Starfighter,2019,158,269,2,24.99,0,4.7,Mar-21,24.71,30.14,
75249-1,Resistance Y-Wing Starfighter,2019,158,578,5,59.99,3,4.7,Nov-21,58.95,60.44,
